RaceID,Race Type,Team,Reaction Time,Split Time,Race Time,Combined Time
176,Manual,MAI,0.486,DNF,DNF,DNF
177,Manual, LEILA, 1.178,DNF,DNF,DNF
177,Manual,MAI,1.202,DNF,DNF,DNF
186,Automatic, LEILA, 0.000,0.000,DNF,DNF
186,Automatic,MAI,0.000,0.000,DNF,DNF
187,Manual, LEILA, 0.233,DNF,DNF,DNF
187,Manual,MAI,0.257,DNF,DNF,DNF
188,Manual, LEILA, DNF,0.000,DNF,DNF
188,Manual,MAI,DNF,0.000,DNF,DNF
189,Manual, LEILA, 4.674,DNF,DNF,DNF
189,Manual,MAI,4.697,DNF,DNF,DNF
190,Manual, LEILA, 2.731,DNF,DNF,DNF
190,Manual,MAI,2.902,DNF,DNF,DNF
191,Manual, LEILA, 2.410,DNF,DNF,DNF
191,Manual,MAI,3.436,DNF,DNF,DNF
192,Manual, LEILA, 1.400,DNF,DNF,DNF
192,Manual,MAI,1.414,DNF,DNF,DNF
193,Manual, LEILA, DNF,DNF,DNF,DNF
193,Manual,MAI,DNF,DNF,DNF,DNF
194,Manual, LEILA, DNF,0.000,DNF,DNF
194,Manual,MAI,DNF,0.000,DNF,DNF
195,Manual, LEILA, 3.438,DNF,DNF,DNF
195,Manual,MAI,2.518,DNF,DNF,DNF
197,Manual, LEILA, 0.440,DNF,DNF,DNF
197,Manual,MAI,0.434,DNF,DNF,DNF
